"","GSI","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood","Estimated_Fecundity"
"1","Bremner",3345.54525090843,1241.28792540671,5449.80257641015,1047.2537785655,1,3345.54525090843
"2","Chitina",-13.3904366513916,-601.486640350119,574.705767047336,288.574966859835,0.1724891,3332.15481425704
"3","Gulkana",-89.500392176006,-788.685372603544,609.684588251532,347.175514874359,0.1724891,3256.04485873243
"4","GulkanaHatchery",58.2082728523503,-516.520525175137,632.937070879837,284.131460325198,0.1724891,3403.75352376078
"5","KlutinaLake",-59.0732452010671,-599.13631999901,480.989829596876,267.358961084728,0.1724891,3286.47200570737
"6","KlutinaTonsinaOutlet",73.7064378923351,-652.796079701623,800.208955486294,359.022296706267,0.1724891,3419.25168880077
"7","Slana",-139.1695894902,-928.956085236984,650.616906256585,396.51960139927,0.1724891,3206.37566141823
"8","TanadaCopperLakes",-285.55386776823,-1616.14919314794,1045.04145761148,675.047679865783,0.1724891,3059.9913831402
"9","Tazlina",-169.981217527355,-1191.42264788319,851.460212828482,512.198274809759,0.1724891,3175.56403338108
