"","Models","Intercept","Intercept.SE","CollLoc_Distance.m","CollLoc_Distance.m.SE","RunTimingGroupLate","RunTimingGroupLate.SE","RunTimingGroupMiddle","RunTimingGroupMiddle.SE","Collection_Year2020","Collection_Year2020.SE","Collection_Year2021","Collection_Year2021.SE","SexM","SexM.SE","RunTimingGroupLate.SexM","RunTimingGroupLate.SexM.SE","RunTimingGroupMiddle.SexM","RunTimingGroupMiddle.SexM.SE","Collection_Year2020.SexM","Collection_Year2020.SexM.SE","Collection_Year2021.SexM","Collection_Year2021.SexM.SE","AIC.c.W","W.Intercept","W.CollLoc_Distance.m","W.RunTimingGroupLate","W.RunTimingGroupMiddle","W.Collection_Year2020","W.Collection_Year2021","W.SexM","W.RunTimingGroupLate.SexM","W.RunTimingGroupMiddle.SexM","W.Collection_Year2020.SexM","W.Collection_Year2021.SexM","W.Intercept.SE","W.CollLoc_Distance.m.SE","W.RunTimingGroupLate.SE","W.RunTimingGroupMiddle.SE","W.Collection_Year2020.SE","W.Collection_Year2021.SE","W.SexM.SE","W.RunTimingGroupLate.SexM.SE","W.RunTimingGroupMiddle.SexM.SE","W.Collection_Year2020.SexM.SE","W.Collection_Year2021.SexM.SE"
"1","EnergyPDry_1~1",8.408967852,0.096908275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00579357341941e-29,5.0502525084632e-28,0,0,0,0,0,0,0,0,0,0,1.58699056184696e-28,0,0,0,0,0,0,0,0,0,0
"2","EnergyPDry_1~CollLoc_Distance.m + RunTimingGroup",10.40505826,0.200669059,-1.76e-05,1.96427561197565e-06,-0.974828489,0.179691009,-0.170496134,0.169124862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001634258,0.0170045497018711,-2.87629408e-08,-0.00159312125677616,-0.000278634670958572,0,0,0,0,0,0,0,0.00110325340205987,9.84689594206663e-09,0.000410752745028924,0.000276393853615156,0,0,0,0,0,0,0
"3","EnergyPDry_1~CollLoc_Distance.m + Collection_Year",11.72687486,0.384351607,-3.11e-05,2.83164039626654e-06,0,0,0,0,-0.183965885,0.206122899,-1.193331929,0.261785001,0,0,0,0,0,0,0,0,0,0,0.000774082,0.00907756274537852,-2.40739502e-08,0,0,-0.00014240468019257,-0.000923736766264178,0,0,0,0,0,0.000602788860589556,6.42621462294849e-09,0,0,0.000288531843062044,0.000471886933316874,0,0,0,0,0
"4","EnergyPDry_1~CollLoc_Distance.m + Sex",10.43966204,0.211211195,-2.17e-05,1.9799586315327e-06,0,0,0,0,0,0,0,0,-0.075096422,0.150270633,0,0,0,0,0,0,0,0,1.2810024526122e-09,1.33732326776825e-08,-2.77977532216847e-14,0,0,0,0,-9.61987007644008e-11,0,0,0,0,8.26879435660706e-10,3.25784379114853e-15,0,0,0,0,2.0786330483306e-10,0,0,0,0
"5","EnergyPDry_1~CollLoc_Distance.m + RunTimingGroup + Sex",10.43312808,0.213381462,-1.76e-05,1.96914854598481e-06,-0.973184648,0.180174418,-0.170496134,0.169534439,0,0,0,0,-0.054757176,0.138877774,0,0,0,0,0,0,0,0,0.000606737,0.00633016483187496,-1.06785712e-08,-0.000590467133773576,-0.000103446312854758,0,0,-3.3223204694712e-05,0,0,0,0,0.000395822140796327,3.65673782693805e-09,0.000152011767136234,0.000102862889096908,0,0,8.78387471200958e-05,0,0,0,0
"6","EnergyPDry_1~CollLoc_Distance.m + RunTimingGroup + Collection_Year",11.04350286,0.419583793,-2.33e-05,3.29809243318453e-06,-0.799991514,0.190466475,-0.170496134,0.162430355,0.127177093,0.210923326,-0.643941135,0.283239374,0,0,0,0,0,0,0,0,0,0,0.73164994,8.07997820490883,-1.7047443602e-05,-0.585313743218609,-0.124743486211332,0.0930491124628244,-0.471139492786282,0,0,0,0,0,0.30702111232773,2.41305079409956e-06,0.139356330354672,0.11884225033862,0.154322623578561,0.207233768098304,0,0,0,0,0
"7","EnergyPDry_1~CollLoc_Distance.m + Collection_Year + Sex",11.75590738,0.390599686,-3.11e-05,2.83839892056991e-06,0,0,0,0,-0.182697304,0.206613514,-1.191018099,0.262434073,-0.062714903,0.139418816,0,0,0,0,0,0,0,0,0.000294395,0.0034608803531351,-9.1556845e-09,0,0,-5.378517281108e-05,-0.000350629773255105,-1.8462953868685e-05,0,0,0,0,0.000237605352556246,2.44466522426938e-09,0,0,0.000109502183673084,0.000178933169998853,4.34905381240941e-05,0,0,0,0
"8","EnergyPDry_1~CollLoc_Distance.m + RunTimingGroup + Sex + RunTimingGroup*Sex",10.53110954,0.234407795,-1.76e-05,1.97124004123439e-06,-1.199318862,0.2518061,-0.256649424,0.23998373,0,0,0,0,-0.256682542,0.23998373,0.438088904,0.341076773,0.17230658,0.339388246,0,0,0,0,0.000163192,0.00171859282805168,-2.8721792e-09,-0.000195719243727504,-4.1883132801408e-05,0,0,-4.1888537394064e-05,7.1492604421568e-05,2.811905540336e-05,0,0,9.28623027716002e-05,9.83651982665399e-10,7.71651144841577e-05,4.16217115132414e-05,0,0,5.57131702697917e-05,9.05961997821254e-05,6.21125666171128e-05,0,0
"9","EnergyPDry_1~CollLoc_Distance.m + Collection_Year + Sex + Collection_Year*Sex",11.7044024,0.402082891,-3.11e-05,2.82762424669161e-06,0,0,0,0,-0.245963694,0.269348588,-0.952408703,0.31313699,0.057907291,0.239766046,0,0,0,0,0.11692278,0.340590782,-0.475015677,0.339174675,0.000191975,0.00224695265074,-5.9704225e-09,0,0,-4.721888015565e-05,-0.000182838660758425,1.1116752189725e-05,0,0,2.24462506905e-05,-9.1191134592075e-05,0.00014750961160871,1.59346052609162e-09,0,0,8.82562579270601e-05,8.453780311664e-05,4.80472110231868e-05,0,0,6.91290669691388e-05,0.000112037229646592
"10","EnergyPDry_1~CollLoc_Distance.m + RunTimingGroup + Collection_Year + Sex",11.06901196,0.425659648,-2.33e-05,3.30620184307673e-06,-0.798689532,0.190963884,-0.170496134,0.162829715,0.127663759,0.211445587,-0.643020475,0.283945552,-0.052079263,0.133390065,0,0,0,0,0,0,0,0,0.26468542,2.92980607961762,-6.167170286e-06,-0.211401474227023,-0.0451278408361663,0.0337907356696938,-0.170198144493975,-0.0137846216004455,0,0,0,0,0.112782723844848,8.7510402366793e-07,0.0505454695107539,0.0430986842885344,0.0559672769990759,0.0751562714166418,0.0367265497997769,0,0,0,0
